TargetName	B022-A-mouseWTA | 001 | CD31	B022-A-mouseWTA | 002 | CD31	B022-A-mouseWTA | 003 | CD31	B022-A-mouseWTA | 005 | CD31	B022-A-mouseWTA | 006 | CD31	B022-A-mouseWTA | 007 | CD31	B022-A-mouseWTA | 008 | CD31	B022-A-mouseWTA | 009 | CD31	B022-A-mouseWTA | 010 | CD31	B022-A-mouseWTA | 011 | CD31	B022-A-mouseWTA | 013 | CD31	B022-A-mouseWTA | 014 | CD31	B022-A-mouseWTA | 015 | CD31	B022-A-mouseWTA | 016 | CD31	B022-A-mouseWTA | 017 | CD31	B022-A-mouseWTA | 018 | CD31	B022-A-mouseWTA | 019 | CD31	B022-A-mouseWTA | 020 | CD31	B022-A-mouseWTA | 021 | CD31	B022-A-mouseWTA | 022 | CD31	B022-A-mouseWTA | 023 | CD31	B022-B-mouseWTA | 001 | CD31	B022-B-mouseWTA | 002 | CD31	B022-B-mouseWTA | 003 | CD31	B022-B-mouseWTA | 004 | CD31	B022-B-mouseWTA | 005 | CD31	B022-B-mouseWTA | 006 | CD31	B022-B-mouseWTA | 007 | CD31	B022-B-mouseWTA | 008 | CD31	B022-B-mouseWTA | 009 | CD31	B022-B-mouseWTA | 010 | CD31	B022-B-mouseWTA | 011 | CD31	B022-B-mouseWTA | 012 | CD31	B022-B-mouseWTA | 013 | CD31	B022-B-mouseWTA | 014 | CD31	B022-B-mouseWTA | 015 | CD31	B022-B-mouseWTA | 016 | CD31	B022-B-mouseWTA | 017 | CD31	B022-B-mouseWTA | 018 | CD31	B022-B-mouseWTA | 019 | CD31	B022-B-mouseWTA | 020 | CD31	B022-B-mouseWTA | 021 | CD31
Ctso	7.381436283	7.807288377	9.226795354	12.83728049	7.381436283	4.920957522	2.913724849	9.226795354	10.54490898	7.688996128	12.30239381	7.738602555	5.536077212	6.151196903	5.536077212	2.050398968	7.688996128	11.07215442	10.54490898	14.76287257	8.908629997	11.81029805	12.68684361	2.839013955	12.30239381	7.908681732	9.936548843	5.638597161	8.387995776	11.53349419	8.153912173	16.53134168	13.59738263	10.14947489	12.68684361	21.80878902	12.64412697	7.828796058	12.68684361	10.11971103	13.95271493	10.60099892
Angpt2	44.2886177	72.39485586	51.10225119	25.67456099	41.82813894	25.83502699	121.405202	57.66747096	60.63322661	20.76028955	41.52057909	39.28828989	77.50508097	27.68038606	46.13397677	71.76396387	27.68038606	33.21646327	36.90718142	33.21646327	46.45214213	60.52777752	13.84019303	68.13633492	57.41117109	32.95284055	32.64866048	58.94897032	32.99278339	17.6846911	46.77770668	7.688996128	8.741174546	29.52574513	24.2203378	6.710396621	26.31345342	42.4991786	27.68038606	13.09609663	9.901926721	10.20836933
Thbd	11.07215442	7.097534888	13.48531629	9.62796037	23.37454823	9.841915044	6.798691314	4.613397677	10.54490898	21.52918916	4.613397677	13.69137375	9.226795354	6.151196903	14.76287257	10.25199484	9.226795354	7.381436283	5.272454488	5.536077212	10.81762214	10.3340108	9.226795354	9.936548843	20.50398968	7.908681732	8.517041865	19.47879019	8.947195495	5.38229729	15.87867107	8.457895741	12.62614101	7.381436283	9.226795354	13.42079324	12.98586013	12.30239381	12.68684361	14.88192799	12.15236461	9.815739738
H3c1	81.19579912	78.07288377	85.17041865	202.9894978	157.4706407	319.8622389	29.13724849	25.37368722	146.310612	30.75598451	166.0823164	99.41127898	147.6287257	43.05837832	97.80403075	166.0823164	103.0325481	103.340108	39.54340866	99.64938982	122.8118278	73.0762192	155.7021716	117.8190791	178.3847102	257.0321563	29.80964653	174.796512	86.67595636	115.3349419	134.3249742	11.14904439	16.51110748	121.7936987	109.5681948	109.0439451	156.5137879	287.4286553	80.73445935	15.47720511	16.20315282	16.09781317
Utp3	11.07215442	17.74383722	9.226795354	18.45359071	13.53263319	12.30239381	13.59738263	23.06698839	10.54490898	13.84019303	4.613397677	14.88192799	14.76287257	18.45359071	9.226795354	14.35279277	15.37799226	7.381436283	5.272454488	9.226795354	17.18092928	10.3340108	21.91363897	11.35605582	12.30239381	11.8630226	14.19506978	10.76459458	19.57199015	9.226795354	11.15798508	11.53349419	9.712416162	11.99483396	6.920096516	11.74319409	9.568528515	9.506395213	13.84019303	4.762216957	8.101576408	13.34940604
Col18a1	39.36766018	44.0047163	18.45359071	41.7211616	19.68383009	34.44670266	88.38298708	43.82727793	86.99549905	57.66747096	12.30239381	67.26631452	84.88651726	30.75598451	11.07215442	28.70558555	9.226795354	25.83502699	21.08981795	38.75254049	47.72480356	47.97933584	25.37368722	14.19506978	49.20957522	17.13547709	5.67802791	29.21818529	31.31518423	26.91148645	63.94383757	4.228947871	32.05097334	6.458756748	9.226795354	6.710396621	41.00797935	9.506395213	12.1101689	45.24106109	7.201401252	7.852591791
Abi1	19.68383009	22.71211164	22.00235815	26.47689102	15.99311195	24.60478761	17.48234909	23.06698839	18.45359071	24.60478761	19.99138993	15.47720511	18.45359071	9.226795354	33.21646327	16.40319174	24.60478761	18.45359071	26.36227244	27.68038606	26.72588999	28.04945788	20.76028955	25.5511256	22.55438864	15.81736346	29.80964653	23.06698839	22.92718846	19.99138993	19.31189725	24.2203378	29.13724849	30.44842467	28.83373548	15.0983924	20.50398968	19.57199015	17.876916	24.4063619	29.25569259	27.09144168
Cyrib	55.36077212	51.10225119	53.94126515	60.17475231	60.28172965	38.1374208	56.33201374	53.05407329	59.31511299	53.8229729	38.44498064	42.85995261	52.59273352	58.43637058	44.2886177	36.90718142	50.74737445	33.21646327	23.7260452	33.21646327	37.54351213	38.38346867	65.7409169	59.61929306	38.95758038	51.40643126	52.52175817	57.41117109	66.54476649	93.03685315	65.23129739	21.91363897	18.45359071	21.22162931	14.99354245	23.48638817	14.69452593	31.87438395	18.45359071	8.333879675	23.85464165	20.02410907
Cacna1a	12.30239381	14.90482326	7.097534888	13.63961052	1.230239381	11.07215442	7.76993293	13.84019303	3.954340866	12.30239381	6.151196903	8.929156794	10.14947489	3.075598451	12.9175135	14.35279277	12.30239381	11.07215442	10.54490898	9.226795354	7.635968569	9.595867168	10.38014477	7.097534888	6.151196903	11.8630226	7.097534888	7.688996128	6.151196903	13.84019303	10.29967853	18.45359071	12.62614101	11.99483396	11.53349419	16.77599155	13.32759329	16.21679183	17.876916	8.333879675	12.15236461	18.8462203
Ache	8.611675664	5.67802791	7.097534888	10.4302904	13.53263319	6.151196903	6.798691314	9.226795354	5.272454488	12.30239381	9.226795354	5.952771196	3.690718142	9.226795354	12.9175135	20.50398968	6.151196903	3.690718142	10.54490898	5.536077212	12.72661428	11.81029805	6.920096516	2.839013955	12.30239381	6.59056811	5.67802791	10.25199484	8.947195495	3.844498064	5.149839267	17.30024129	21.36731556	5.536077212	16.14689187	11.74319409	8.20159587	8.947195495	12.1101689	8.929156794	17.10332797	16.09781317
